"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","Fare","Euro Million","47.7"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","Prepayments","Euro Million","6.7"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","Accommodation","Euro Million","106"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","Day-to-Day Expenditure","Euro Million","109.9"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Europe (3)","All Travel Expenditure","Euro Million","270.3"
"Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","Fare","Euro Million","152.5"
"Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","Prepayments","Euro Million","16"
"Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","Accommodation","Euro Million","134.2"
"Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","Day-to-Day Expenditure","Euro Million","133.8"
"Expenditure of Overnight Foreign Visitors","2024 June","USA & Canada","All Travel Expenditure","Euro Million","436.5"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","Fare","Euro Million","33.4"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","Prepayments","Euro Million","1.2"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","Accommodation","Euro Million","21.8"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","Day-to-Day Expenditure","Euro Million","35.8"
"Expenditure of Overnight Foreign Visitors","2024 June","Other Residencies","All Travel Expenditure","Euro Million","92.2"
"Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","Fare","Euro Million","277.9"
"Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","Prepayments","Euro Million","30.2"
"Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","Accommodation","Euro Million","306.5"
"Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","Day-to-Day Expenditure","Euro Million","347.7"
"Expenditure of Overnight Foreign Visitors","2024 June","All Residencies","All Travel Expenditure","Euro Million","962.3"
"Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","Fare","Euro Million","39.3"
"Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","5"
"Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","39.3"
"Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","70.5"
"Expenditure of Overnight Foreign Visitors","2024 July","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","154.2"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","Fare","Euro Million","54.5"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","Prepayments","Euro Million","8.7"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","Accommodation","Euro Million","100.4"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","Day-to-Day Expenditure","Euro Million","107.6"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Europe (3)","All Travel Expenditure","Euro Million","271.2"
"Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","Fare","Euro Million","142.7"
"Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","Prepayments","Euro Million","16"
"Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","Accommodation","Euro Million","122.7"
"Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","Day-to-Day Expenditure","Euro Million","119.4"
"Expenditure of Overnight Foreign Visitors","2024 July","USA & Canada","All Travel Expenditure","Euro Million","400.8"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","Fare","Euro Million","32.8"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","Prepayments","Euro Million","1.8"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","Accommodation","Euro Million","19.1"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","Day-to-Day Expenditure","Euro Million","39.3"
"Expenditure of Overnight Foreign Visitors","2024 July","Other Residencies","All Travel Expenditure","Euro Million","93"
"Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","Fare","Euro Million","269.3"
"Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","Prepayments","Euro Million","31.5"
"Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","Accommodation","Euro Million","281.5"
"Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","Day-to-Day Expenditure","Euro Million","336.9"
"Expenditure of Overnight Foreign Visitors","2024 July","All Residencies","All Travel Expenditure","Euro Million","919.2"
"Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","Fare","Euro Million","49.6"
"Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","8.8"
"Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","49.6"
"Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","108.1"
"Expenditure of Overnight Foreign Visitors","2024 August","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","216.1"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","Fare","Euro Million","68.8"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","Prepayments","Euro Million","19.3"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","Accommodation","Euro Million","137.6"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","Day-to-Day Expenditure","Euro Million","158.6"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Europe (3)","All Travel Expenditure","Euro Million","384.3"
"Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","Fare","Euro Million","132.4"
"Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","Prepayments","Euro Million","23.4"
"Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","Accommodation","Euro Million","130.6"
"Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","Day-to-Day Expenditure","Euro Million","128.1"
"Expenditure of Overnight Foreign Visitors","2024 August","USA & Canada","All Travel Expenditure","Euro Million","414.6"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","Fare","Euro Million","26.7"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","Prepayments","Euro Million","2.2"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","Accommodation","Euro Million","16"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","Day-to-Day Expenditure","Euro Million","37.7"
"Expenditure of Overnight Foreign Visitors","2024 August","Other Residencies","All Travel Expenditure","Euro Million","82.5"
"Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","Fare","Euro Million","277.5"
"Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","Prepayments","Euro Million","53.8"
"Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","Accommodation","Euro Million","333.8"
"Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","Day-to-Day Expenditure","Euro Million","432.5"
"Expenditure of Overnight Foreign Visitors","2024 August","All Residencies","All Travel Expenditure","Euro Million","1097.6"
"Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","Fare","Euro Million","32.8"
"Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","12.4"
"Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","44"
"Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","62.4"
"Expenditure of Overnight Foreign Visitors","2024 September","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","151.6"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","Fare","Euro Million","44.1"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","Prepayments","Euro Million","9.2"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","Accommodation","Euro Million","90"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","Day-to-Day Expenditure","Euro Million","97.1"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Europe (3)","All Travel Expenditure","Euro Million","240.4"
"Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","Fare","Euro Million","138.3"
"Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","Prepayments","Euro Million","25.7"
"Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","Accommodation","Euro Million","149.6"
"Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","Day-to-Day Expenditure","Euro Million","127"
"Expenditure of Overnight Foreign Visitors","2024 September","USA & Canada","All Travel Expenditure","Euro Million","440.7"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","Fare","Euro Million","23.4"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","Prepayments","Euro Million","1.5"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","Accommodation","Euro Million","19.9"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","Day-to-Day Expenditure","Euro Million","38.2"
"Expenditure of Overnight Foreign Visitors","2024 September","Other Residencies","All Travel Expenditure","Euro Million","82.9"
"Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","Fare","Euro Million","238.7"
"Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","Prepayments","Euro Million","48.8"
"Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","Accommodation","Euro Million","303.5"
"Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","Day-to-Day Expenditure","Euro Million","324.7"
"Expenditure of Overnight Foreign Visitors","2024 September","All Residencies","All Travel Expenditure","Euro Million","915.6"
"Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","Fare","Euro Million","29.6"
"Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","2.7"
"Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","32"
"Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","50.3"
"Expenditure of Overnight Foreign Visitors","2024 October","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","114.6"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","Fare","Euro Million","38.8"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","Prepayments","Euro Million","5.9"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","Accommodation","Euro Million","83.5"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","Day-to-Day Expenditure","Euro Million","94.7"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Europe (3)","All Travel Expenditure","Euro Million","222.8"
"Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","Fare","Euro Million","95.7"
"Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","Prepayments","Euro Million","14.3"
"Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","Accommodation","Euro Million","114.8"
"Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","Day-to-Day Expenditure","Euro Million","97.8"
"Expenditure of Overnight Foreign Visitors","2024 October","USA & Canada","All Travel Expenditure","Euro Million","322.7"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","Fare","Euro Million","19.9"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","Prepayments","Euro Million","1.6"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","Accommodation","Euro Million","11.4"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","Day-to-Day Expenditure","Euro Million","25.4"
"Expenditure of Overnight Foreign Visitors","2024 October","Other Residencies","All Travel Expenditure","Euro Million","58.3"
"Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","Fare","Euro Million","184"
"Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","Prepayments","Euro Million","24.5"
"Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","Accommodation","Euro Million","241.6"
"Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","Day-to-Day Expenditure","Euro Million","268.2"
"Expenditure of Overnight Foreign Visitors","2024 October","All Residencies","All Travel Expenditure","Euro Million","718.3"
"Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","Fare","Euro Million","26.7"
"Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","3"
"Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","26.4"
"Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","47.8"
"Expenditure of Overnight Foreign Visitors","2024 November","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","103.8"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","Fare","Euro Million","25"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","Prepayments","Euro Million","3"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","Accommodation","Euro Million","45.4"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","Day-to-Day Expenditure","Euro Million","57.4"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Europe (3)","All Travel Expenditure","Euro Million","130.8"
"Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","Fare","Euro Million","47.5"
"Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","Prepayments","Euro Million","4.7"
"Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","Accommodation","Euro Million","48.5"
"Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","Day-to-Day Expenditure","Euro Million","46.4"
"Expenditure of Overnight Foreign Visitors","2024 November","USA & Canada","All Travel Expenditure","Euro Million","147.2"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","Fare","Euro Million","15.5"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","Prepayments","Euro Million","1.1"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","Accommodation","Euro Million","8.7"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","Day-to-Day Expenditure","Euro Million","23.6"
"Expenditure of Overnight Foreign Visitors","2024 November","Other Residencies","All Travel Expenditure","Euro Million","49"
"Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","Fare","Euro Million","114.8"
"Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","Prepayments","Euro Million","11.8"
"Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","Accommodation","Euro Million","128.9"
"Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","Day-to-Day Expenditure","Euro Million","175.2"
"Expenditure of Overnight Foreign Visitors","2024 November","All Residencies","All Travel Expenditure","Euro Million","430.7"
"Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","Fare","Euro Million","28"
"Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","2.3"
"Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","20.9"
"Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","50.5"
"Expenditure of Overnight Foreign Visitors","2024 December","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","101.7"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","Fare","Euro Million","25"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","Prepayments","Euro Million","3.8"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","Accommodation","Euro Million","55.1"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","Day-to-Day Expenditure","Euro Million","75.5"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Europe (3)","All Travel Expenditure","Euro Million","159.4"
"Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","Fare","Euro Million","35.9"
"Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","Prepayments","Euro Million","3.8"
"Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","Accommodation","Euro Million","37.8"
"Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","Day-to-Day Expenditure","Euro Million","48.3"
"Expenditure of Overnight Foreign Visitors","2024 December","USA & Canada","All Travel Expenditure","Euro Million","125.8"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","Fare","Euro Million","15.6"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","Prepayments","Euro Million","0.7"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","Accommodation","Euro Million","7.8"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","Day-to-Day Expenditure","Euro Million","22"
"Expenditure of Overnight Foreign Visitors","2024 December","Other Residencies","All Travel Expenditure","Euro Million","46"
"Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","Fare","Euro Million","104.5"
"Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","Prepayments","Euro Million","10.5"
"Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","Accommodation","Euro Million","121.6"
"Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","Day-to-Day Expenditure","Euro Million","196.4"
"Expenditure of Overnight Foreign Visitors","2024 December","All Residencies","All Travel Expenditure","Euro Million","433"
"Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","Fare","Euro Million","23.4"
"Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","2.1"
"Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","18"
"Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","44.9"
"Expenditure of Overnight Foreign Visitors","2025 January","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","88.4"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","Fare","Euro Million","20.3"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","Prepayments","Euro Million","1.5"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","Accommodation","Euro Million","22.8"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","Day-to-Day Expenditure","Euro Million","48.3"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Europe (3)","All Travel Expenditure","Euro Million","92.9"
"Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","Fare","Euro Million","36.3"
"Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","Prepayments","Euro Million","2.3"
"Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","Accommodation","Euro Million","15.2"
"Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","Day-to-Day Expenditure","Euro Million","30.2"
"Expenditure of Overnight Foreign Visitors","2025 January","USA & Canada","All Travel Expenditure","Euro Million","84"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Residencies","Fare","Euro Million","20.4"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Residencies","Prepayments","Euro Million","0.8"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Residencies","Accommodation","Euro Million","5.4"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Residencies","Day-to-Day Expenditure","Euro Million","22.6"
"Expenditure of Overnight Foreign Visitors","2025 January","Other Residencies","All Travel Expenditure","Euro Million","49.2"
"Expenditure of Overnight Foreign Visitors","2025 January","All Residencies","Fare","Euro Million","100.5"
"Expenditure of Overnight Foreign Visitors","2025 January","All Residencies","Prepayments","Euro Million","6.8"
"Expenditure of Overnight Foreign Visitors","2025 January","All Residencies","Accommodation","Euro Million","61.3"
"Expenditure of Overnight Foreign Visitors","2025 January","All Residencies","Day-to-Day Expenditure","Euro Million","146"
"Expenditure of Overnight Foreign Visitors","2025 January","All Residencies","All Travel Expenditure","Euro Million","314.5"
"Expenditure of Overnight Foreign Visitors","2025 February","Great Britain (England, Scotland & Wales)","Fare","Euro Million","23.7"
"Expenditure of Overnight Foreign Visitors","2025 February","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","2.9"
"Expenditure of Overnight Foreign Visitors","2025 February","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","24.7"
"Expenditure of Overnight Foreign Visitors","2025 February","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","43.7"
"Expenditure of Overnight Foreign Visitors","2025 February","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","94.9"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Europe (3)","Fare","Euro Million","18.8"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Europe (3)","Prepayments","Euro Million","1.6"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Europe (3)","Accommodation","Euro Million","26.8"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Europe (3)","Day-to-Day Expenditure","Euro Million","42.3"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Europe (3)","All Travel Expenditure","Euro Million","89.5"
"Expenditure of Overnight Foreign Visitors","2025 February","USA & Canada","Fare","Euro Million","21.8"
"Expenditure of Overnight Foreign Visitors","2025 February","USA & Canada","Prepayments","Euro Million","1.5"
"Expenditure of Overnight Foreign Visitors","2025 February","USA & Canada","Accommodation","Euro Million","14"
"Expenditure of Overnight Foreign Visitors","2025 February","USA & Canada","Day-to-Day Expenditure","Euro Million","19.5"
"Expenditure of Overnight Foreign Visitors","2025 February","USA & Canada","All Travel Expenditure","Euro Million","56.8"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Residencies","Fare","Euro Million","9"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Residencies","Prepayments","Euro Million","0.6"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Residencies","Accommodation","Euro Million","5.7"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Residencies","Day-to-Day Expenditure","Euro Million","12.4"
"Expenditure of Overnight Foreign Visitors","2025 February","Other Residencies","All Travel Expenditure","Euro Million","27.7"
"Expenditure of Overnight Foreign Visitors","2025 February","All Residencies","Fare","Euro Million","73.3"
"Expenditure of Overnight Foreign Visitors","2025 February","All Residencies","Prepayments","Euro Million","6.5"
"Expenditure of Overnight Foreign Visitors","2025 February","All Residencies","Accommodation","Euro Million","71.2"
"Expenditure of Overnight Foreign Visitors","2025 February","All Residencies","Day-to-Day Expenditure","Euro Million","117.8"
"Expenditure of Overnight Foreign Visitors","2025 February","All Residencies","All Travel Expenditure","Euro Million","268.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","Fare","%","24.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","Prepayments","%","1.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","Accommodation","%","17"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","56.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","Fare","%","20.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","Prepayments","%","0.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","Accommodation","%","25.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","Day-to-Day Expenditure","%","53.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","Fare","%","45.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","Prepayments","%","1.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","Accommodation","%","18.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","Day-to-Day Expenditure","%","34.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","Fare","%","33.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","Prepayments","%","1.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","Accommodation","%","15"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","Day-to-Day Expenditure","%","50.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","Fare","%","29.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","Prepayments","%","1.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","Accommodation","%","19.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","Day-to-Day Expenditure","%","49.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","Fare","%","23.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","Prepayments","%","1.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","Accommodation","%","23.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","51.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","Fare","%","17.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","Prepayments","%","0.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","Accommodation","%","33.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","Day-to-Day Expenditure","%","48.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","Fare","%","34.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","Prepayments","%","0.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","Accommodation","%","30"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","Day-to-Day Expenditure","%","35"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Other Residencies","Fare","%","23.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Other Residencies","Prepayments","%","0.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 February","Other Residencies","Accommodation","%","26.2"
